CHAMPION,ROLE,kda,wr
Aatrox,bottom,2.3488372093023258,41.17647058823529
Aatrox,jungle,2.2247191011235956,35.526315789473685
Aatrox,middle,2.337035248672139,53.55329949238579
Aatrox,top,2.0467351831193183,50.85438335809806
Ahri,bottom,2.498456790123457,55.55555555555556
Ahri,middle,2.678014078736638,50.323043790380474
Ahri,top,2.319702602230483,50.89285714285714
Ahri,utility,2.2791970802919708,46.7032967032967
Akali,middle,2.263366984483081,47.59707804690504
Akali,top,1.8866061545273412,45.08816120906801
Akshan,bottom,2.0842562239744837,39.102185469580625
Akshan,jungle,1.7104072398190044,27.058823529411764
Akshan,middle,2.2446304557788714,47.616244849911716
Akshan,top,1.7421137462583467,42.532467532467535
Akshan,utility,1.7417582417582418,32.0
Alistar,top,2.213740458015267,44.44444444444444
Alistar,utility,2.5772700920356546,49.358841778697
Amumu,jungle,2.3924268502581754,45.92043155765341
Amumu,top,1.4185022026431717,40.0
Amumu,utility,2.245136186770428,51.31578947368421
Anivia,bottom,2.8738938053097347,58.75912408759124
Anivia,middle,2.5338066540080906,51.05901706765371
Anivia,top,2.105050505050505,49.8220640569395
Anivia,utility,2.0779127948534666,47.16553287981859
Annie,bottom,2.135087719298246,43.333333333333336
Annie,middle,2.4898835920177382,53.54541970103488
Annie,top,2.0786516853932584,46.26865671641791
Annie,utility,2.2104529616724737,49.7737556561086
Aphelios,bottom,2.150282515095486,49.001669933928696
Aphelios,middle,1.721875,41.66666666666667
Aphelios,top,1.3395931142410016,46.666666666666664
Ashe,bottom,2.5434318059475065,51.62778319879357
Ashe,middle,2.538922155688623,57.14285714285714
Ashe,top,1.3463035019455254,45.45454545454545
Ashe,utility,2.2414605418138986,46.96969696969697
AurelionSol,bottom,2.3488372093023258,56.52173913043478
AurelionSol,middle,2.7356796976496986,52.816020025031285
AurelionSol,top,2.066666666666667,41.86046511627907
Azir,bottom,1.7533333333333334,36.0
Azir,middle,2.2420692515032137,48.341489940184886
Azir,top,2.129032258064516,61.36363636363637
Bard,utility,3.1657004599463394,52.298166230054775
Blitzcrank,middle,1.5625,35.294117647058826
Blitzcrank,utility,2.4884024919345866,51.109711947111606
Brand,bottom,2.3315412186379927,57.14285714285714
Brand,jungle,1.9363957597173145,35.714285714285715
Brand,middle,2.0584070796460177,53.10734463276836
Brand,top,1.7261146496815287,33.33333333333333
Brand,utility,1.7748919923641113,49.898497766950875
Braum,utility,2.925541516245487,49.51298701298701
Caitlyn,bottom,2.3316982586454573,48.98472249081415
Caitlyn,middle,1.6756756756756757,39.62264150943396
Caitlyn,top,1.8507462686567164,37.5
Camille,bottom,2.521276595744681,50.0
Camille,jungle,2.3591160220994474,46.2962962962963
Camille,middle,2.2685714285714287,54.875717017208416
Camille,top,2.0880988816951147,52.24831135413316
Camille,utility,1.9854545454545454,52.5
Cassiopeia,bottom,2.2034211742949608,51.59500693481276
Cassiopeia,middle,2.048708116497763,50.21516944593868
Cassiopeia,top,1.7307183781401498,51.47679324894515
Chogath,bottom,2.3046875,45.87155963302752
Chogath,jungle,2.418560606060606,37.77777777777778
